feature,importance
mp_ewma_10,3923
per_min_stl_last10,3527
mp_mean_last10,2734
mp_trend_3v10,2407
opp_allowed_stl_ewma,2292
stl_per_min_vol_last10,2175
per_min_pf_last10,2110
mp_vol_last10,1708
cv_min,1630
stl_p_ge2_last10,1526
slope5_pf,1462
stl_p_zero_last10,1352
games_since_return,1341
rest_days,732
opp_allowed_stl_factor,544
above_mean_pct_min,377
stl_p_ge1_last10,288
is_home,114
opp_allowed_stl_mean,98
is_injury_elevated_role,94
did_not_play_last_team_game,82
is_stable_role_player,77
is_high_minutes_uncertainty,72
three_in_4,61
back_to_back,57
four_in_6,47
is_recent_rotation_change,40
dnp_injury,35
limited_return_game,34
is_bench_fragile_minutes,30
returned_from_absence,21
dnp_coach_decision,9
dnp_rest,5
ewma10_stl,0
spread_for_team,0
vacated_minutes,0
