feature,importance
per_min_pf_last10,3594
mp_trend_3v10,3524
mp_ewma_10,3508
mp_vol_last10,2866
implied_team_total,2486
opp_allowed_pts_factor,2441
opp_allowed_pts_ewma,2195
spread_for_team,2171
slope5_pf,2093
games_since_return,1819
rest_days,844
mp_mean_last10,800
cv_min,664
opp_allowed_pts_mean,555
above_mean_pct_min,542
is_home,133
back_to_back,113
is_injury_elevated_role,98
is_stable_role_player,86
three_in_4,85
is_recent_rotation_change,82
four_in_6,80
is_high_minutes_uncertainty,75
did_not_play_last_team_game,69
limited_return_game,64
is_bench_fragile_minutes,41
dnp_injury,29
returned_from_absence,12
dnp_coach_decision,9
dnp_rest,2
consensus_total,0
