feature,importance
mp_ewma_10,2968
mp_vol_last10,1876
mp_trend_3v10,1567
games_since_return,1204
per_min_pf_last10,1149
slope5_pf,814
spread_for_team,772
implied_team_total,766
mp_mean_last10,651
opp_allowed_pts_factor,606
opp_allowed_pts_ewma,576
cv_min,483
rest_days,453
above_mean_pct_min,395
did_not_play_last_team_game,312
is_stable_role_player,301
opp_allowed_pts_mean,132
is_high_minutes_uncertainty,108
four_in_6,103
returned_from_absence,83
is_recent_rotation_change,52
back_to_back,52
is_injury_elevated_role,51
three_in_4,42
is_bench_fragile_minutes,33
is_home,23
limited_return_game,15
dnp_injury,12
dnp_rest,1
dnp_coach_decision,0
consensus_total,0
