stat,role_bucket,n,brier_raw,brier_cal,brier_delta,ece_raw,ece_cal,ece_delta,nll_raw,nll_cal,nll_delta,mean_err_raw,mean_err_cal,mean_err_delta
pts,bench,489,0.2459,0.2473,0.0014,0.0031,0.0323,0.0292,2.7555,2.7611,0.0056,-0.0031,0.0323,0.0354
pts,core,535,0.243,0.2361,-0.007,0.0952,0.0369,-0.0583,3.3859,3.3825,-0.0034,-0.0952,-0.0369,0.0583
pts,fringe,224,0.2565,0.263,0.0065,0.0833,0.1334,0.05,2.2189,2.2404,0.0216,0.0317,0.0765,0.0447
pts,inactive_risk,117,0.2423,0.2458,0.0035,0.0868,0.1115,0.0246,2.6856,2.7357,0.0502,-0.0138,0.0383,0.0521
pts,rotation,489,0.2417,0.2352,-0.0064,0.0874,0.0344,-0.053,3.0852,3.0817,-0.0035,-0.0874,-0.0344,0.053
pts,starter,306,0.2442,0.2346,-0.0096,0.1139,0.067,-0.047,3.3882,3.341,-0.0473,-0.1139,-0.0566,0.0573
reb,bench,489,0.2219,0.2206,-0.0012,0.0408,0.0078,-0.033,2.0019,2.0031,0.0012,-0.0387,0.0073,0.046
reb,core,535,0.2192,0.1963,-0.0229,0.1707,0.0738,-0.0969,2.4178,2.3513,-0.0666,-0.1707,-0.0738,0.0969
reb,fringe,224,0.172,0.1727,0.0006,0.0125,0.0309,0.0183,1.6917,1.7191,0.0274,-0.0029,0.0309,0.0338
reb,inactive_risk,117,0.0742,0.0709,-0.0033,0.0527,0.0227,-0.03,1.8192,1.8519,0.0327,-0.0369,-0.0201,0.0167
reb,rotation,489,0.2192,0.2022,-0.017,0.153,0.0939,-0.0591,2.2549,2.202,-0.053,-0.153,-0.0805,0.0725
reb,starter,306,0.2309,0.2153,-0.0157,0.1343,0.055,-0.0793,2.4447,2.3859,-0.0588,-0.1343,-0.055,0.0793
ast,bench,489,0.0718,0.0695,-0.0023,0.0237,0.0102,-0.0136,1.3643,1.3373,-0.027,-0.0232,0.0047,0.0279
ast,core,535,0.201,0.1811,-0.0199,0.1431,0.0274,-0.1157,2.0803,2.0224,-0.0579,-0.1431,-0.0274,0.1157
ast,fringe,224,0.0057,0.0072,0.0015,0.0073,0.0069,-0.0003,1.1309,1.161,0.0301,0.004,0.0069,0.003
ast,inactive_risk,117,0.0,0.0,-0.0,0.0,0.0,0.0,1.3836,1.4505,0.0669,0.0,0.0,0.0
ast,rotation,489,0.1638,0.1424,-0.0213,0.1376,0.0478,-0.0898,1.8334,1.759,-0.0744,-0.1376,-0.0478,0.0898
ast,starter,306,0.2286,0.2204,-0.0082,0.0882,0.0393,-0.0489,2.2782,2.2165,-0.0616,-0.0839,0.0038,0.0877
fg3m,bench,489,0.2101,0.1964,-0.0137,0.1674,0.1334,-0.034,2.8462,2.7858,-0.0604,0.1674,0.1334,-0.034
fg3m,core,535,0.2111,0.2056,-0.0056,0.0761,0.044,-0.0322,2.6006,2.5605,-0.0401,0.0761,0.044,-0.0322
fg3m,fringe,224,0.1337,0.1218,-0.0119,0.1359,0.1135,-0.0224,2.2905,2.2601,-0.0304,0.1359,0.1135,-0.0224
fg3m,inactive_risk,117,0.0594,0.0537,-0.0058,0.0638,0.051,-0.0128,5.9109,5.8982,-0.0127,0.0606,0.051,-0.0096
fg3m,rotation,489,0.1998,0.1951,-0.0047,0.0912,0.0621,-0.0292,2.1506,2.1224,-0.0281,0.0912,0.0621,-0.0292
fg3m,starter,306,0.2353,0.2329,-0.0024,0.0834,0.0507,-0.0327,2.0255,1.9705,-0.0549,0.0834,0.0473,-0.0362
stl,bench,489,0.0079,0.0078,-0.0,0.0018,0.0043,0.0025,5.3441,5.3525,0.0084,-0.0006,-0.001,-0.0004
stl,core,535,0.0628,0.0632,0.0005,0.0156,0.0177,0.0021,10.3179,10.3231,0.0052,0.0122,0.0103,-0.0019
stl,fringe,224,0.0012,0.0012,-0.0,0.0023,0.0023,-0.0,2.7359,2.7419,0.006,0.0023,0.0023,-0.0
stl,inactive_risk,117,0.0022,0.0021,-0.0,0.0043,0.0043,-0.0,2.5465,2.5641,0.0176,0.0043,0.0043,-0.0
stl,rotation,489,0.0386,0.0389,0.0002,0.0059,0.0133,0.0074,8.6016,8.6066,0.005,-0.0059,-0.0076,-0.0017
stl,starter,306,0.0425,0.0427,0.0002,0.0362,0.0268,-0.0094,13.2066,13.2041,-0.0025,-0.0032,-0.0031,0.0001
blk,bench,489,0.0033,0.0037,0.0004,0.0019,0.0022,0.0002,4.0646,4.0714,0.0068,0.0009,0.0008,-0.0001
blk,core,535,0.011,0.0101,-0.0009,0.0066,0.0036,-0.003,7.9358,7.9381,0.0023,-0.0066,-0.0036,0.003
blk,fringe,224,0.0019,0.0018,-0.0002,0.005,0.0047,-0.0002,2.217,2.2236,0.0067,-0.005,-0.0047,0.0002
blk,inactive_risk,117,0.0018,0.0023,0.0005,0.0039,0.0044,0.0005,1.1081,1.1301,0.022,-0.0039,-0.0044,-0.0005
blk,rotation,489,0.0095,0.0109,0.0014,0.0105,0.0118,0.0014,5.4357,5.4401,0.0045,-0.0052,-0.0062,-0.001
blk,starter,306,0.0102,0.0098,-0.0004,0.0161,0.0128,-0.0033,8.9409,8.9392,-0.0016,0.0136,0.0128,-0.0008
