n,status,stat,context,mean_predicted_prob,observed_hit_rate,calibration_error,mean_absolute_error_stat,mean_signed_error_stat,brier_score,bias_direction
0,insufficient_sample,pts,regular_season,,,,,,,
13876,ok,pts,playoff,0.5198,0.4661,0.0537,0.129,0.129,0.2485,within_tolerance
0,insufficient_sample,reb,regular_season,,,,,,,
8778,ok,reb,playoff,0.4981,0.4696,0.0285,0.013,0.013,0.2374,within_tolerance
0,insufficient_sample,ast,regular_season,,,,,,,
6201,ok,ast,playoff,0.4696,0.4412,0.0283,0.227,-0.227,0.2339,within_tolerance
0,insufficient_sample,fg3m,regular_season,,,,,,,
6354,ok,fg3m,playoff,0.351,0.4344,0.0834,0.129,-0.129,0.238,within_tolerance
0,insufficient_sample,stl,regular_season,,,,,,,
1922,ok,stl,playoff,0.3527,0.475,0.1223,0.29,-0.29,0.2868,within_tolerance
0,insufficient_sample,blk,regular_season,,,,,,,
1651,ok,blk,playoff,0.2521,0.3786,0.1264,0.074,-0.074,0.2832,within_tolerance
0,insufficient_sample,tov,regular_season,,,,,,,
28,insufficient_sample,tov,playoff,,,,,,,
